google_vid_id,report_date,comment_hour,total_comments
n1Eppmt7J8k,2024-09-12,07,25
n5LraFxdLBI,2024-09-10,14,28
n5LraFxdLBI,2024-09-11,17,28
n5LraFxdLBI,2024-09-12,10,28
nApmnmPkO1s,2024-09-10,14,12
nApmnmPkO1s,2024-09-11,17,12
nApmnmPkO1s,2024-09-12,10,12
nRB7Er5BYfA,2024-09-11,17,16
nRB7Er5BYfA,2024-09-12,10,16
om_eBH67oMI,2024-09-10,14,275
om_eBH67oMI,2024-09-11,17,275
om_eBH67oMI,2024-09-12,10,275
pEsxxx4N8oQ,2024-09-10,14,32
pEsxxx4N8oQ,2024-09-11,17,32
pEsxxx4N8oQ,2024-09-12,10,32
pGThT9eARoo,2024-09-10,14,9
pGThT9eARoo,2024-09-11,17,9
pGThT9eARoo,2024-09-12,10,9
pHLq28G9izU,2024-09-10,14,4
pHLq28G9izU,2024-09-11,17,4
pHLq28G9izU,2024-09-12,10,4
tQmff4LWeb4,2024-09-10,14,5
tQmff4LWeb4,2024-09-11,17,5
tQmff4LWeb4,2024-09-12,10,5
tvHVafvw16Y,2024-09-11,17,48
tvHVafvw16Y,2024-09-12,10,48
uryeaKSlsIk,2024-09-10,14,8
uryeaKSlsIk,2024-09-11,17,8
uryeaKSlsIk,2024-09-12,07,8
